word_ID	word	word_count_in_CTB	difficulty_level	type
1446	子弟	31	2	conj
1449	親戚	5	2	conj
1451	搖滾	4	3	conj
1453	摩擦	2	2	conj
1467	撰寫	13	1	conj
1469	名義	20	3	conj
1474	衣裳	1	1	conj
1478	交會	2	2	conj
1481	記取	2	2	conj
1495	眷屬	7	3	conj
1499	升降	2	1	conj
1502	坦白	3	3	conj
1508	平安	4	3	conj
1509	油脂	1	1	conj
1513	奔騰	3	2	conj
1526	簽署	56	1	conj
1531	切實	16	2	conj
1532	兇猛	1	1	conj
1533	理工	3	1	conj
1538	執掌	3	3	conj
1541	輕盈	1	3	conj
1547	體認	5	2	conj
1558	口腹	1	2	conj
1567	精湛	4	2	conj
1568	啟動	54	2	conj
1572	橋樑	18	3	conj
1573	猶疑	1	2	conj
1575	權勢	1	1	conj
1577	圍繞	11	1	conj
1578	奉養	1	2	conj
1579	坦率	3	3	conj
1585	經受	6	1	conj
1586	志趣	1	3	conj
1591	風氣	22	2	conj
1593	探知	1	3	conj
1596	器重	1	3	conj
1598	材料	44	3	conj
1603	灘涂	6	3	conj
1604	積壓	4	2	conj
1611	維修	15	3	conj
1616	濕紅	1	3	conj
1617	名稱	10	3	conj
1618	洪澇	9	2	conj
1621	投靠	2	3	conj
1623	船艦	2	1	conj
1627	稍微	2	2	conj
1630	彰顯	2	3	conj
1637	揣測	1	3	conj
1642	飛揚	2	2	conj
1645	批駁	1	2	conj
1649	投降	1	2	conj
1657	填充	1	1	conj
1658	場域	1	2	conj
1669	苦毒	2	1	conj
1671	質問	1	1	conj
1686	飄散	2	1	conj
1691	視察	9	1	conj
1695	堡壘	2	1	conj
1696	污蔑	1	2	conj
1698	土石	5	1	conj
1701	情況	183	1	conj
1702	貯存	3	1	conj
1714	抵達	16	1	conj
1719	瀟灑	2	3	conj
1721	添加	2	1	conj
1723	哀悼	6	1	conj
1724	調集	1	3	conj
1729	搖擺	1	1	conj
1739	旅遊	108	2	conj
1740	唏噓	1	3	conj
1741	風暴	44	2	conj
1749	旁邊	8	3	conj
1750	印行	1	2	conj
1754	感念	2	2	conj
1755	伎倆	1	2	conj
1756	籌畫	1	2	conj
1765	要害	2	2	conj
1768	批閱	1	1	conj
1773	裝潢	6	3	conj
1777	倒退	4	2	conj
1789	架勢	1	1	conj
1791	數額	9	2	conj
1792	秩序	36	2	conj
1802	錄取	12	2	conj
1809	圖畫	1	1	conj
1817	板塊	3	2	conj
1823	稱呼	5	2	conj
1830	仿作	1	2	conj
1831	回答	20	2	conj
1833	出動	6	2	conj
1840	拆解	1	1	conj
1841	奉送	1	2	conj
1847	哽咽	2	2	conj
1850	波濤	1	2	conj
1858	奔跑	3	1	conj
1864	猜測	7	1	conj
1869	雲霧	6	1	conj
1870	獵捕	1	2	conj
1877	發放	10	1	conj
1878	給付	1	1	conj
1885	表示	449	1	conj
1895	分享	14	1	conj
1905	真假	1	1	conj
1909	更改	4	3	conj
1912	體系	85	3	conj
1915	跨越	12	1	conj
1919	波流	1	2	conj
1922	轉折	6	1	conj
1925	織造	2	2	conj
1932	兌換	6	1	conj
1937	傷病	1	1	conj
1944	色澤	8	2	conj
1985	服從	3	3	conj
1993	斷裂	4	2	conj
1998	願望	9	2	conj
2001	拼組	1	1	conj
2009	濕滑	1	1	conj
2015	精幹	2	1	conj
2019	節約	6	1	conj
2020	修讀	2	1	conj
2023	損害	8	1	conj
2028	關卡	4	3	conj
2032	談論	6	1	conj
2038	揉捻	1	1	conj
2046	承諾	31	3	conj
2051	收集	20	1	conj
2059	打造	16	2	conj
2064	碾磨	1	1	conj
2068	品味	5	3	conj
2070	封鎖	5	2	conj
2076	坐擁	3	3	conj
2080	光彩	2	2	conj
2081	狂熱	5	2	conj
2085	河流	9	1	conj
2090	承襲	4	1	conj
2093	推敲	1	1	conj
2095	辛勤	4	1	conj
2101	感受	25	1	conj
2112	接收	12	2	conj
2117	參照	3	2	conj
2124	約制	1	1	conj
2126	苦寂	1	3	conj
2133	採擷	1	1	conj
2144	險阻	1	1	conj
2151	開墾	3	1	conj
2158	交互	1	3	conj
2161	兒孫	2	1	conj
2172	裁撤	4	1	conj
2173	榜樣	3	2	conj
2175	排放	11	1	conj
2177	社教	2	1	conj
2178	樓宇	13	2	conj
2181	容顏	4	1	conj
2185	排擠	4	1	conj
2188	風土	4	3	conj
2195	佔領	7	2	conj
2196	浮動	2	2	conj
2201	沖泡	1	1	conj
2220	推想	1	2	conj
2223	描寫	12	1	conj
2224	裁抑	1	1	conj
2225	波折	2	3	conj
2230	纖維	43	1	conj
2242	核銷	4	1	conj
2244	演練	2	2	conj
2246	豐厚	6	1	conj
2252	煙霧	1	1	conj
2253	位階	1	1	conj
2257	僵持	1	3	conj
2260	呼喚	2	1	conj
2264	中外	57	1	conj
2265	音樂	87	1	conj
2267	本初	1	1	conj
2269	編配	1	1	conj
2271	破舊	3	1	conj
2272	情境	6	1	conj
2277	書報	1	1	conj
2281	符號	6	2	conj
2290	搭乘	3	1	conj
2296	期勉	1	1	conj
2304	順暢	3	1	conj
2313	編造	1	1	conj
2318	議決	2	2	conj
2322	澄清	2	2	conj
2331	收購	34	2	conj
2333	技能	4	2	conj
2336	推崇	3	1	conj
2341	酷炫	1	1	conj
2343	工作	553	3	conj
2347	簽批	1	1	conj
2352	血淚	3	1	conj
2356	配用	1	2	conj
2359	改變	96	1	conj
2360	會同	4	3	conj
2374	恩怨	1	1	conj
2383	演示	1	1	conj
2384	化約	2	1	conj
2392	學養	1	1	conj
2393	權限	3	3	conj
2404	啄食	1	2	conj
2407	遣送	1	1	conj
2414	禮俗	1	2	conj
2416	承續	1	2	conj
2418	創辦	29	2	conj
2428	婚嫁	1	1	conj
2432	選購	2	1	conj
2450	奮發	1	2	conj
2451	走訪	3	1	conj
2454	儀容	1	1	conj
2457	坍塌	3	1	conj
2458	順應	11	2	conj
2466	薄弱	4	1	conj
2468	提取	2	1	conj
2476	陶醉	1	2	conj
2484	恐怕	25	2	conj
2486	彙編	1	1	conj
2490	擅長	5	2	conj
2494	測量	4	1	conj
2496	透露	55	1	conj
2499	解除	26	1	conj
2502	借用	13	2	conj
2503	轉任	1	2	conj
2506	轉令	1	1	conj
2509	興榮	1	1	conj
2512	畜牧	2	1	conj
2523	書信	3	1	conj
2524	度量	1	3	conj
2534	崇揚	1	1	conj
2535	房舍	4	1	conj
2545	逼迫	1	1	conj
2546	姿態	8	2	conj
2553	訴說	9	1	conj
2555	破碎	4	1	conj
2559	遵行	1	3	conj
2561	停止	41	1	conj
2564	換代	2	1	conj
2565	創設	1	1	conj
2572	抒發	2	1	conj
2576	勞累	3	1	conj
2578	捍御	1	1	conj
2585	安逸	1	1	conj
2589	類別	2	1	conj
2590	控告	1	1	conj
2604	吟唱	3	1	conj
2605	策畫	1	1	conj
2606	捉弄	1	1	conj
2607	策略	33	1	conj
2613	採取	120	1	conj
2616	宣讀	2	1	conj
2620	到達	9	1	conj
2621	表彰	3	1	conj
2624	檢驗	20	1	conj
2634	警戒	2	2	conj
2635	繳獲	1	2	conj
2636	輕便	2	2	conj
2639	花俏	1	1	conj
2646	穿越	7	2	conj
2650	權責	2	1	conj
2659	遮蔽	1	1	conj
2662	遮蔭	1	2	conj
2664	按摩	6	2	conj
2668	昏暗	1	2	conj
2669	把玩	2	2	conj
2672	厭恨	1	1	conj
2681	附近	34	2	conj
2683	收聽	2	1	conj
2686	生猛	1	1	conj
2690	神佛	2	1	conj
2696	指控	4	1	conj
2697	聘雇	1	1	conj
2699	分銷	3	2	conj
2714	鋼鐵	20	1	conj
2716	排列	3	1	conj
2724	街市	2	2	conj
2728	退避	1	1	conj
2729	送遞	1	1	conj
2730	一二	1	1	conj
2733	零碎	2	1	conj
2740	拯救	1	1	conj
2755	功績	1	1	conj
2757	商議	1	1	conj
2758	學識	1	1	conj
2759	睡覺	2	3	conj
2760	進行	493	1	conj
2761	造詣	1	3	conj
2762	學說	5	2	conj
2764	造訪	7	1	conj
2767	版本	8	2	conj
2768	庇護	2	1	conj
2769	脈絡	6	1	conj
2773	賞賜	1	1	conj
2775	防護	3	1	conj
2777	請求	6	1	conj
2779	扮演	27	1	conj
2780	妻小	2	1	conj
2781	方案	67	2	conj
2782	捐助	6	1	conj
2785	遷移	2	1	conj
2786	翻飛	1	1	conj
2788	招式	1	1	conj
2789	庇蔭	2	1	conj
2794	維繫	6	2	conj
2795	景仰	1	3	conj
2796	訓練	46	1	conj
2805	屈服	4	2	conj
2807	疆域	2	1	conj
2808	風險	76	2	conj
2809	修改	18	1	conj
2811	疆土	1	2	conj
2813	制約	16	1	conj
2815	水土	9	1	conj
2817	田徑	20	2	conj
2819	枝葉	1	1	conj
2820	拓墾	1	1	conj
2824	日夜	1	1	conj
2828	氛圍	3	1	conj
2829	奠定	22	2	conj
2830	形態	3	1	conj
2833	匆忙	2	1	conj
2835	積累	8	1	conj
2836	嘉惠	2	1	conj
2837	聯繫	71	1	conj
2838	歡欣	1	1	conj
2840	煤炭	18	1	conj
2841	查看	2	1	conj
2842	檢舉	2	1	conj
2843	心力	7	2	conj
2844	徵召	1	1	conj
2846	災變	3	2	conj
2847	明亮	3	1	conj
2849	意見	57	2	conj
2854	懲治	2	1	conj
2855	聆聽	5	1	conj
2857	分秒	1	1	conj
2858	逗留	1	1	conj
2859	評析	1	1	conj
2860	介紹	208	1	conj
2861	摸索	12	1	conj
2863	對應	4	1	conj
2866	依托	9	1	conj
2867	埋葬	1	1	conj
2874	規範	36	1	conj
2875	勘察	1	1	conj
2877	緣故	4	1	conj
2879	戰役	1	2	conj
2880	登記	24	1	conj
2883	清潔	6	1	conj
2884	理由	22	1	conj
2885	房屋	27	1	conj
2886	教導	10	1	conj
2887	鬍鬚	1	1	conj
2888	背棄	1	1	conj
2891	匱乏	3	1	conj
2892	驕傲	8	1	conj
2893	接送	3	1	conj
2894	攙扶	2	1	conj
2895	經歷	30	1	conj
2896	猶豫	5	3	conj
2897	研商	1	1	conj
2900	告訴	38	1	conj
2901	祝賀	9	1	conj
2902	搜羅	1	2	conj
2904	遷徙	2	1	conj
2906	遵循	8	2	conj
2909	監督	46	2	conj
2911	雕塑	17	1	conj
2915	勞動	18	2	conj
2917	延宕	2	1	conj
2919	貢獻	71	1	conj
2920	探討	20	1	conj
2923	儲蓄	15	1	conj
2924	砍伐	3	1	conj
2925	懊惱	3	1	conj
2927	解放	21	1	conj
2928	詢問	8	1	conj
2930	樞紐	22	3	conj
2931	散佈	3	1	conj
2932	雕刻	16	1	conj
2933	傳遞	5	1	conj
2934	阻擋	6	1	conj
2938	收取	3	1	conj
2939	急遽	1	1	conj
2941	準備	105	1	conj
2942	偵防	12	1	conj
2945	功勞	2	1	conj
2947	理會	2	1	conj
2948	審判	13	1	conj
2949	粗糙	6	1	conj
2950	憤怒	6	1	conj
2951	親朋	1	1	conj
2953	柔弱	1	1	conj
2954	檢查	66	1	conj
2957	素樸	2	1	conj
2960	填寫	2	1	conj
2963	場所	10	1	conj
2964	揭發	1	1	conj
2965	盼望	5	1	conj
2970	聰慧	1	1	conj
2974	接納	10	1	conj
2975	高超	2	1	conj
2977	檢控	2	2	conj
2978	哀樂	2	1	conj
2980	告知	3	1	conj
2981	興趣	50	1	conj
2987	奴隸	3	1	conj
2988	機構	310	1	conj
2990	口舌	1	1	conj
2991	仇恨	6	1	conj
2992	冤枉	1	1	conj
2994	機械	57	1	conj
2995	揮灑	6	1	conj
2996	披露	11	3	conj
2997	祈禱	1	1	conj
2999	宣佈	109	1	conj
3000	平坦	1	1	conj
3001	船舶	11	1	conj
3004	狹窄	3	1	conj
3006	光滑	2	2	conj
3008	性能	4	2	conj
3009	採用	52	1	conj
3010	撼動	2	1	conj
3013	忘記	11	3	conj
3015	淪喪	1	3	conj
3018	期望	21	1	conj
3019	財富	16	1	conj
3021	修長	1	3	conj
3024	彙集	10	1	conj
3027	移居	6	2	conj
3028	治療	28	1	conj
3029	生醫	7	1	conj
3030	倚賴	1	1	conj
3031	滲透	3	1	conj
3032	押解	1	1	conj
3033	調配	2	1	conj
3037	接洽	2	1	conj
3039	囚禁	4	1	conj
3041	轉接	1	1	conj
3042	諮詢	21	1	conj
3045	呼應	6	1	conj
3046	門戶	1	1	conj
3048	迅即	1	3	conj
3049	祈求	1	1	conj
3050	申請	77	1	conj
3054	搜尋	11	1	conj
3055	藝文	3	2	conj
3059	樓房	5	1	conj
3061	儉樸	1	1	conj
3063	銷售	72	1	conj
3065	兵將	1	1	conj
3066	對錯	1	1	conj
3067	病痛	3	1	conj
3069	奉行	3	2	conj
3070	疾病	27	1	conj
3071	疼痛	2	1	conj
3072	咳嗽	1	1	conj
3074	租售	1	1	conj
3075	批評	37	1	conj
3076	辛勞	2	1	conj
3077	靦腆	1	1	conj
3079	衍生	4	1	conj
3083	顧慮	7	1	conj
3085	興盛	4	1	conj
3087	發射	23	1	conj
3088	遼闊	3	1	conj
3089	拒絕	23	1	conj
3090	犧牲	14	1	conj
3091	收錄	4	1	conj
3092	周密	1	1	conj
3093	節省	10	1	conj
3094	沐浴	1	1	conj
3096	狀況	69	1	conj
3097	沉沒	1	1	conj
3100	呼喊	1	1	conj
3102	遲鈍	1	1	conj
3103	映照	2	1	conj
3104	罪惡	2	1	conj
3105	鞭炮	2	1	conj
3107	暢快	3	1	conj
3108	傳染	1	1	conj
3109	性格	13	1	conj
3110	偵測	1	1	conj
3113	評論	15	1	conj
3114	招牌	15	1	conj
3115	審視	3	1	conj
3118	取捨	2	1	conj
3120	郵簡	1	1	conj
3121	恐怖	27	1	conj
3122	龐雜	3	1	conj
3123	傳授	4	1	conj
3125	估量	3	1	conj
3126	手腳	1	1	conj
3128	傳承	8	1	conj
3130	衝撞	1	1	conj
3134	鬆懈	2	1	conj
3139	偵查	4	1	conj
3140	國家	984	1	conj
3141	淪陷	2	3	conj
3142	容許	3	1	conj
3143	背負	3	1	conj
3144	拘泥	1	1	conj
3146	提交	16	1	conj
3147	變幻	3	1	conj
3148	推動	106	1	conj
3150	羅列	1	3	conj
3154	討論	81	1	conj
3156	功能	66	1	conj
3158	塑造	8	1	conj
3159	運行	52	1	conj
3160	縈繞	1	2	conj
3162	連貫	1	2	conj
3164	震盪	5	1	conj
3165	估計	43	1	conj
3168	破爛	1	1	conj
19	囹圄	1	1	els
22	菩薩	2	1	els
33	馬芬	1	1	els
50	東面	1	2	els
54	依稀	1	3	els
60	可口	2	3	els
86	耳際	1	1	els
107	在乎	5	1	els
119	國內	285	1	els
167	天涯	5	2	els
185	水底	1	1	els
215	海隅	1	1	els
238	卷宗	1	2	els
241	值得	54	3	els
242	忽地	1	3	els
255	本領	7	3	els
289	午後	1	1	els
292	樹頭	1	1	els
301	角落	4	3	els
303	風頭	2	2	els
318	彗核	8	1	els
339	其間	7	2	els
420	垂青	1	3	els
445	出自	3	1	els
500	生平	2	3	els
527	卡司	3	1	els
537	多所	3	1	els
571	終而	1	2	els
577	瀝青	2	3	els
614	就往	1	1	els
645	一陣	2	1	els
650	比如	8	1	els
656	何況	14	1	els
697	平白	1	2	els
745	燕尾	1	2	els
772	所幸	4	2	els
806	知府	1	2	els
836	莞爾	1	3	els
857	東端	1	3	els
893	怎麼	70	2	els
917	一起	58	3	els
921	喀擦	1	1	els
987	瞎拼	1	2	els
1012	而立	1	2	els
1041	窮怕	1	2	els
1045	何必	3	1	els
1049	例外	3	2	els
1091	罐身	3	3	els
1139	厘頭	1	3	els
1175	念頭	8	2	els
1216	然後	30	1	els
1266	拳頭	4	3	els
1283	實則	2	3	els
1322	凱旋	1	3	els
1331	水面	2	1	els
1337	何嘗	4	3	els
1480	為時	1	1	els
1501	丫環	1	3	els
1516	再次	35	2	els
1549	室內	10	1	els
1605	豈止	1	2	els
1622	路面	5	2	els
1641	似乎	40	2	els
1651	老是	4	3	els
1667	鄉間	4	2	els
1759	玩意	2	3	els
1825	牆角	1	2	els
1837	海底	3	2	els
1843	場內	1	2	els
1865	年事	1	3	els
1876	老師	112	2	els
1914	戶頭	3	2	els
1967	花朵	2	2	els
1973	貓咪	1	1	els
1974	海外	133	1	els
1986	地步	4	3	els
1988	嘴角	1	2	els
1991	故障	4	2	els
2048	皮夾	1	3	els
2078	相似	9	3	els
2096	此間	70	2	els
2122	樂得	1	3	els
2128	布匹	1	1	els
2145	護照	27	3	els
2146	要不	1	1	els
2154	瞿鑠	1	3	els
2168	事先	12	2	els
2221	足見	1	3	els
2239	老六	3	1	els
2241	一律	11	3	els
2247	予以	21	1	els
2266	澎湃	1	1	els
2300	膀胱	1	3	els
2301	前頭	1	1	els
2321	葫蘆	1	1	els
2330	率先	18	3	els
2433	可憐	4	3	els
2469	可怕	5	3	els
2480	顧問	19	3	els
2513	打聽	4	3	els
2517	悠哉	2	3	els
2529	福佬	2	2	els
2552	圓寂	1	1	els
2582	打緊	1	2	els
2632	如法	1	1	els
2654	於焉	1	1	els
2676	勾當	1	3	els
2737	向前	18	2	els
2749	一下	16	1	els
2801	逕自	2	1	els
2812	徒弟	1	2	els
2821	從小	3	3	els
2845	杯葛	2	1	els
2910	調侃	1	3	els
2940	憧憬	4	1	els
2946	宵夜	2	2	els
2955	位在	3	2	els
2979	籠統	1	1	els
2984	西施	1	1	els
3005	影響	237	3	els
3060	老婆	18	1	els
3068	蒺藜	2	2	els
3078	派對	2	1	els
3098	繼而	2	1	els
3133	蜿蜒	3	1	els
3155	眉頭	3	1	els
1	地價	3	1	n-head
3	假期	6	1	n-head
7	列車	5	1	n-head
9	飛鳥	1	1	n-head
11	失物	1	1	n-head
12	漁港	2	1	n-head
13	法典	10	1	n-head
15	大王	3	1	n-head
18	油品	2	1	n-head
23	鋒面	1	2	n-head
25	金器	2	1	n-head
30	織物	4	1	n-head
31	病害	1	2	n-head
32	山泥	8	1	n-head
36	射程	3	1	n-head
37	血庫	1	1	n-head
38	魚乾	1	1	n-head
41	表妹	1	1	n-head
43	國史	1	1	n-head
46	腎疾	1	1	n-head
47	爛泥	3	1	n-head
48	工齡	2	1	n-head
49	地位	83	2	n-head
51	徒步	4	2	n-head
53	退路	3	1	n-head
55	政策	325	1	n-head
62	文物	47	1	n-head
66	磁帶	2	1	n-head
67	現金	12	2	n-head
68	棺材	4	2	n-head
69	師院	1	2	n-head
72	紋飾	1	1	n-head
76	弊端	3	2	n-head
78	煙草	3	1	n-head
80	小眾	6	1	n-head
82	西隅	1	1	n-head
84	國力	6	1	n-head
90	年貨	3	1	n-head
91	古名	1	1	n-head
93	用油	1	1	n-head
95	生涯	23	3	n-head
96	茶食	1	2	n-head
100	球迷	6	1	n-head
101	日文	5	1	n-head
103	台制	1	1	n-head
106	僑務	4	1	n-head
108	滷水	1	1	n-head
109	使節	6	2	n-head
111	菠菜	2	1	n-head
114	霸氣	1	1	n-head
116	外牆	3	1	n-head
118	暑假	4	1	n-head
122	僱主	14	1	n-head
124	踏板	1	1	n-head
129	恨事	2	1	n-head
130	職責	5	2	n-head
131	古劇	1	1	n-head
133	鐵條	1	1	n-head
134	賀辭	1	1	n-head
137	寶石	3	1	n-head
139	漢文	1	1	n-head
140	真跡	1	1	n-head
141	佳節	4	1	n-head
144	餅鋪	1	1	n-head
146	區旗	5	1	n-head
148	前茅	1	2	n-head
149	礦井	1	2	n-head
154	路標	1	1	n-head
157	強片	1	1	n-head
162	軍令	3	1	n-head
166	副總	5	1	n-head
168	體委	2	2	n-head
169	龍蝦	1	1	n-head
170	國企	4	1	n-head
172	戰略	113	1	n-head
173	陶胚	1	1	n-head
175	園丁	1	2	n-head
180	海鞘	1	2	n-head
181	特展	14	1	n-head
183	四周	7	3	n-head
184	大洲	10	2	n-head
187	荒野	3	2	n-head
188	台人	1	1	n-head
190	苧麻	2	1	n-head
193	牧師	1	1	n-head
197	大法	1	1	n-head
